JARVIS-ID,Formula,Spacegroup,Atom,Wycoff,Diag_Vxx,Diag_Vyy,Diag_Vzz,Eta,VASP_Vxx,VASP_Vxy,VASP_Vxz,VASP_Vyy,VASP_Vyz,VASP_Vzz
JVASP-10,VSe2,164,V,a,2.2559,2.2568,-4.5127,0.000199437,2.2568,0,0,2.2559,0,-4.5127
JVASP-10,VSe2,164,Se,d,4.4839,4.4839,-8.9678,0,4.4839,0,0,4.4839,0,-8.9678
JVASP-10001,Li2O6ZrTe,146,Li,a,-0.0411,-0.0411,0.0821,0,-0.0164,0.017,0.0463,-0.0294,0.0318,0.0458
JVASP-10001,Li2O6ZrTe,146,O,b,-5.4245,-6.7823,12.2068,0.111233083,11.0706,4.3351,0.2494,-4.3607,-0.2464,-6.71
JVASP-10001,Li2O6ZrTe,146,Zr,a,0.6428,0.6433,-1.286,0.000388802,0.2563,-0.2659,-0.7249,0.4605,-0.4985,-0.7168
JVASP-10001,Li2O6ZrTe,146,Te,a,0.2997,0.2998,-0.5996,0.000166778,0.1196,-0.1239,-0.338,0.2146,-0.2324,-0.3342
JVASP-10014,SiAs2Rb2,72,Si,b,-0.0879,-0.1901,0.278,0.367625899,-0.1639,-0.0573,0.0639,0.1983,-0.1397,-0.0344
JVASP-10014,SiAs2Rb2,72,As,j,0.9266,15.3439,-16.2705,0.886100612,13.2048,-1.0136,-5.2128,-15.8455,-2.47,2.6407
JVASP-10014,SiAs2Rb2,72,Rb,j,-0.5607,-3.1728,3.7335,0.699638409,2.9374,-0.495,-1.9399,-1.9435,-1.2062,-0.9939
JVASP-10016,Be3N2,194,Be,f,0.2166,0.2166,-0.4333,0,0.2166,0,0,0.2166,0,-0.4333
JVASP-10016,Be3N2,194,Be,b,-0.8688,-0.8688,1.7376,0,-0.8688,0,0,-0.8688,0,1.7376
JVASP-10016,Be3N2,194,N,a,0.5315,0.5316,-1.0631,9.41E-05,0.5316,0,0,0.5315,0,-1.0631
JVASP-10016,Be3N2,194,N,c,-1.2851,-1.2851,2.5701,0,-1.2851,0,0,-1.2851,0,2.5701
JVASP-10018,SiK2As2,72,Si,b,-0.103,-0.1429,0.246,0.162195122,-0.0959,-0.0633,0.0166,0.1599,-0.1485,-0.064
JVASP-10018,SiK2As2,72,K,j,-0.4879,-1.5691,2.0569,0.525645389,1.5743,-0.2107,-1.1328,-0.9725,-0.4947,-0.6018
JVASP-10018,SiK2As2,72,As,j,0.8849,15.277,-16.1619,0.890495548,10.9103,2.5498,-10.2492,-2.1312,5.9846,-8.7791
JVASP-10020,BaSeO3,11,Ba,e,3.1218,3.7578,-6.8796,0.092447235,3.1218,0,0,-5.1741,3.9029,2.0523
JVASP-10020,BaSeO3,11,Se,e,15.4554,16.0079,-31.4633,0.017560141,16.0079,0,0,-0.3121,-22.1625,-15.6957
JVASP-10020,BaSeO3,11,O,f,-6.2745,-7.4347,13.7092,0.0846293,5.3001,1.1622,-9.892,-6.9299,-1.6447,1.6298
JVASP-10020,BaSeO3,11,O,e,-5.59,-8.0364,13.6264,0.179533846,-5.59,0,0,13.0996,-3.3369,-7.5096
JVASP-1003,Si,227,Si,a,0,0,0,0,0,0,0,0,0,0
JVASP-10036,TiO2,136,Ti,a,0.7471,1.3514,-2.0984,0.287981319,1.0492,-0.3022,0,1.0492,0,-2.0984
JVASP-10036,TiO2,136,O,g,-0.0995,-2.1077,2.2073,0.909799302,0.0498,2.1575,0,0.0498,0,-0.0995
JVASP-10037,O2Sn,136,O,g,4.9516,6.2039,-11.1554,0.112259533,1.551,7.336,-0.5112,-6.92,-0.2952,5.369
JVASP-10037,O2Sn,136,Sn,a,-0.5516,-4.6688,5.2205,0.78866009,1.3052,1.0719,-4.0372,0.0672,-2.331,-1.3724
JVASP-10038,BiO2,136,Bi,a,-4.4487,-9.8274,14.2761,0.376762561,4.9137,9.3624,0,4.9137,0,-9.8274
JVASP-10038,BiO2,136,O,g,5.8248,5.8784,-11.7032,0.004579944,-2.9392,8.764,0,-2.9392,0,5.8784
JVASP-1004,Sm,194,Sm,a,-0.7645,-0.764,1.5285,0,-0.764,0,0,-0.7645,0,1.5285
JVASP-1004,Sm,194,Sm,c,-0.671,-0.6705,1.3415,0,-0.6705,0,0,-0.671,0,1.3415
JVASP-1005,Sm,194,Sm,a,-0.8911,-0.8911,1.7821,0,-0.8911,0,0,-0.8911,0,1.7821
JVASP-1005,Sm,194,Sm,d,-0.743,-0.743,1.486,0,-0.743,0,0,-0.743,0,1.486
JVASP-10053,VO2,136,V,b,0.3659,0.486,-0.8519,0.140978988,-0.2129,-0.4035,0.4972,0.253,0.287,-0.0401
JVASP-10053,VO2,136,O,g,0.0923,2.4606,-2.5529,0.927690078,0.6152,1.8291,-0.9668,-1.4969,-0.5582,0.8817
JVASP-10063,CoO2,136,Co,b,1.6886,4.4608,-6.1494,0.450808209,0.4221,-2.3317,-3.1998,3.1145,-1.8475,-3.5367
JVASP-10063,CoO2,136,O,g,3.2168,6.8259,-10.0427,0.359375467,1.7065,6.7834,-1.4734,-6.1263,-0.8507,4.4198
JVASP-10064,MnO2,136,Mn,b,-0.4955,-0.5478,1.0432,0.050134202,0.2607,0.4366,-0.6495,-0.2434,-0.3752,-0.0173
JVASP-10064,MnO2,136,O,g,3.5635,6.8377,-10.4012,0.314790601,1.7094,6.9921,-1.3367,-6.3643,-0.7717,4.6549
JVASP-10066,NiO2,136,Ni,b,0.5245,0.8519,-1.3764,0.237866899,-0.3441,-0.6906,0.7761,0.4532,0.4479,-0.1091
JVASP-10066,NiO2,136,O,g,5.417,9.1274,-14.5445,0.255106741,2.2813,9.7144,-1.515,-8.9359,-0.8747,6.6546
JVASP-1007,Sn,227,Sn,a,0,0,0,0,0,0,0,0,0,0
JVASP-10073,BO3In,167,B,a,-1.6977,-1.6977,3.3954,0,-0.8919,0.529,1.7819,-1.3505,1.1696,2.2424
JVASP-10073,BO3In,167,O,e,3.422,4.8332,-8.2552,0.170946797,2.1655,-1.7511,3.9482,3.6838,2.5917,-5.8493
JVASP-10073,BO3In,167,In,b,1.0992,1.0994,-2.1985,9.10E-05,0.5775,-0.3425,-1.1537,0.8745,-0.7573,-1.452
JVASP-10076,O3Al2,12,O,i,2.0039,2.8375,-4.8414,0.1721816,1.6123,-0.094,-1.5872,2.8174,-0.3812,-4.4297
JVASP-10076,O3Al2,12,Al,i,-0.3786,-1.2182,1.5967,0.525834534,-0.2669,0.0685,0.4525,-1.1888,0.2778,1.4557
JVASP-1009,Sn,227,Sn,b,0,0,0,-1.096,0,0,0,0,0,0
JVASP-101,Fe2O3,167,Fe,c,-1.4665,-1.4671,2.9336,0.000204527,-1.4665,0,0,-1.4671,0,2.9336
JVASP-101,Fe2O3,167,O,e,2.1322,3.2729,-5.4051,0.211041424,2.1322,0,0,-1.8551,4.2667,-0.2772
JVASP-10108,Sc2SO2,194,Sc,f,-0.4818,-0.4821,0.9638,0.000311268,-0.4818,0,0,-0.4821,0,0.9638
JVASP-10108,Sc2SO2,194,S,b,-0.7047,-0.7048,1.4095,7.09E-05,-0.7047,0,0,-0.7048,0,1.4095
JVASP-10108,Sc2SO2,194,O,f,0.8084,0.8085,-1.6169,6.18E-05,0.8085,0,0,0.8084,0,-1.6169
JVASP-1011,Sr,225,Sr,a,0,0,0,1.19,0,0,0,0,0,0
JVASP-10116,O2Cu2Ba,141,O,e,0.4702,4.0067,-4.4769,0.789943934,-3.336,-0.6733,2.3083,3.1428,-1.3622,0.1932
JVASP-10116,O2Cu2Ba,141,Cu,d,1.8234,6.2226,-8.046,0.546756152,-6.6783,-3.7156,-0.9128,4.1969,-2.1373,2.4813
JVASP-10116,O2Cu2Ba,141,Ba,a,4.1715,4.1717,-8.3431,2.40E-05,2.3149,-2.3826,-3.7567,1.1142,-4.8205,-3.4291
JVASP-10125,S3Rb2,36,S,b,-12.632,-14.6583,27.2903,0.074249825,-10.5506,10.1322,6.204,11.207,17.3141,-0.6564
JVASP-10125,S3Rb2,36,S,a,7.701,21.1811,-28.8821,0.466728527,-8.1956,21.273,10.4142,5.7764,-7.5414,2.4192
JVASP-10125,S3Rb2,36,Rb,a,-0.2845,-0.7173,1.0018,0.43202236,0.0589,-0.5621,0.5136,-0.3104,-0.3719,0.2515
JVASP-10126,Se3Rb2,36,Se,b,-27.542,-29.3076,56.8496,0.031057387,-21.9461,18.9134,14.7736,21.2906,37.1623,0.6555
JVASP-10126,Se3Rb2,36,Se,a,21.3562,38.2138,-59.5701,0.282987606,-19.0587,41.438,22.0583,8.2326,-15.9596,10.8261
JVASP-10126,Se3Rb2,36,Rb,a,-0.3511,-0.8179,1.169,0.399315654,0.4805,-0.6017,0.5367,0.0842,-0.3883,-0.5647
JVASP-10134,LaBO3,11,La,e,4.4942,6.4984,-10.9926,0.182322653,4.4942,0,0,-7.4202,7.0514,2.9261
JVASP-10134,LaBO3,11,B,e,-1.6173,-1.667,3.2843,0.015132601,-1.6173,0,0,0.1969,2.3989,1.4204
JVASP-10134,LaBO3,11,O,f,1.0131,3.861,-4.8741,0.584292485,1.224,3.2518,-2.2635,-1.7679,1.2994,0.5439
