jid,site_idx,element,frob_norm,cartesian_max,principal_max,difference,strict_underestimation,tol_filtered_underestimation,ratio
JVASP-14747,0,S,0.0,0.0,0.0,0.0,False,False,1.0
JVASP-14747,1,Th,0.020049937655763423,0.009,0.01574772708486752,0.0067477270848675195,True,True,1.7497474538741689
JVASP-18747,0,Mo,24.368749208771465,19.897,19.897,0.0,False,False,1.0
JVASP-18747,1,Mo,24.368749208771465,19.897,19.897,0.0,False,False,1.0
JVASP-18747,2,Rh,19.826692227062654,14.352333333333334,14.352333333333334,0.0,False,False,1.0
JVASP-18747,3,Rh,19.821022022085543,14.352,14.352,0.0,False,False,1.0
JVASP-18747,4,Rh,19.82649404206402,14.352,14.352,0.0,False,False,1.0
JVASP-18747,5,Rh,19.826692227062654,14.352333333333334,14.352333333333334,0.0,False,False,1.0
JVASP-18747,6,Rh,19.821022022085543,14.352,14.352,0.0,False,False,1.0
JVASP-18747,7,Rh,19.82649404206402,14.352,14.352,0.0,False,False,1.0
JVASP-2346,0,S,114.5237049435618,49.519,87.00317212489936,37.48417212489937,True,True,1.7569654501282208
JVASP-2346,1,S,114.523930538556,77.376,87.0035068073356,9.627506807335592,True,True,1.1244249742469963
JVASP-2346,2,S,114.52383629620515,60.038,87.0033229370589,26.9653229370589,True,True,1.449137595140726
JVASP-2346,3,S,114.52399578254331,59.495,87.00377574127299,27.50877574127299,True,True,1.4623712201239263
JVASP-2346,4,Ga,17.641475524078665,8.124,14.404204446462977,6.280204446462976,True,True,1.7730433833657036
JVASP-2346,5,Ga,11.917825472794943,5.488,9.730863710769867,4.242863710769867,True,True,1.773116565373518
JVASP-2346,6,Cd,35.68973292138791,16.436,29.14054489294253,12.704544892942529,True,True,1.772970606774308
JVASP-2460,0,O,3.993995743613155,2.733,3.2610838602709444,0.5280838602709443,True,True,1.1932249763157499
JVASP-2460,1,O,3.993995743613155,2.733,3.2610838602709444,0.5280838602709443,True,True,1.1932249763157499
JVASP-2460,2,F,9.19742779259506,6.293,7.509668320128144,1.2166683201281439,True,True,1.1933367742139114
JVASP-2460,3,F,9.19742779259506,6.293,7.509668320128144,1.2166683201281439,True,True,1.1933367742139114
JVASP-2460,4,Nd,22.359751444653106,15.297333333333333,18.25666043069004,2.9593270973567076,True,True,1.1934537891586796
JVASP-2460,5,Nd,22.359751444653106,15.297333333333333,18.25666043069004,2.9593270973567076,True,True,1.1934537891586796
JVASP-15049,0,B,0.0,0.0,0.0,0.0,False,False,1.0
JVASP-15049,1,Pu,0.013856406460551019,0.007,0.010514349354930024,0.0035143493549300237,True,True,1.5020499078471463
JVASP-14571,0,Sm,0.0,0.0,0.0,0.0,False,False,1.0
JVASP-14571,1,Sn,193.38476570298914,157.898,157.898,0.0,False,False,1.0
JVASP-14571,2,Sn,193.38476570298914,157.898,157.898,0.0,False,False,1.0
JVASP-14571,3,Sn,193.38476570298914,157.898,157.898,0.0,False,False,1.0
JVASP-36603,0,Sr,0.0,0.0,0.0,0.0,False,False,1.0
JVASP-36603,1,Ir,0.0,0.0,0.0,0.0,False,False,1.0
JVASP-36603,2,O,184.76909378103977,150.86333333333334,150.86333333333334,0.0,False,False,1.0
JVASP-36603,3,O,184.76909378103977,150.86333333333334,150.86333333333334,0.0,False,False,1.0
JVASP-36603,4,O,184.76909378103977,150.86333333333334,150.86333333333334,0.0,False,False,1.0
JVASP-18049,0,Ce,0.0,0.0,0.0,0.0,False,False,1.0
JVASP-18049,1,B,18.113160151300676,14.789333333333333,14.789333333333333,0.0,False,False,1.0
JVASP-18049,2,B,18.113160151300676,14.789333333333333,14.789333333333333,0.0,False,False,1.0
JVASP-18049,3,B,18.113160151300676,14.789333333333333,14.789333333333333,0.0,False,False,1.0
JVASP-18049,4,B,18.113160151300676,14.789333333333333,14.789333333333333,0.0,False,False,1.0
JVASP-18049,5,B,18.113160151300676,14.789333333333333,14.789333333333333,0.0,False,False,1.0
JVASP-18049,6,B,18.113160151300676,14.789333333333333,14.789333333333333,0.0,False,False,1.0
JVASP-35089,0,Tb,2.780170858058907,2.27,2.27,0.0,False,False,1.0
JVASP-35089,1,Tb,2.780170858058907,2.27,2.27,0.0,False,False,1.0
JVASP-35089,2,Ge,44.163075368456845,36.059,36.059,0.0,False,False,1.0
JVASP-35089,3,Ge,44.163075368456845,36.059,36.059,0.0,False,False,1.0
