fold,model,seed,num_crystals,num_sites,mean_frobenius_micro,median_frobenius_micro,normalized_frobenius_error,Vzz_MAE,eta_MAE,orientation_error_mean_deg,valid_eta_count,valid_orientation_count
fold_0,B0_zero,42,3041,19237,88.24493074674389,41.49432604585837,0.9999999999994109,70.61006201003119,N/A,N/A,0,0
fold_0,B2_local_mlp,42,3041,19237,88.34079155580449,41.570096620194455,1.0010863038612798,70.66397047149606,0.5439231726519735,58.60488428634249,5,767
fold_0,B4_invariant_projected_5d,42,3041,19237,88.0311923567289,41.289263520937055,0.9975778961096331,70.42292945671332,0.03555045869094464,27.231145396385834,51,140
fold_0,B5_equivariant_e3nn,42,3041,19237,71.62172068078206,36.447945240233544,0.8116241927401887,59.7132846512268,0.14773382293283419,14.832873694813047,16983,15566
fold_1,B0_zero,42,3041,18870,92.04293157578282,43.42820841702974,0.9999999999994242,73.74731702146215,N/A,N/A,0,0
fold_1,B2_local_mlp,42,3041,18870,92.15430077384414,43.36523904287389,1.0012099701313464,73.84794957713477,0.5400040039217533,68.96894304470632,10,9264
fold_1,B4_invariant_projected_5d,42,3041,18870,91.50502654353542,42.73333857807154,0.9941559332901386,73.29279015220321,0.20691646052295098,30.96337368409437,938,1009
fold_1,B5_equivariant_e3nn,42,3041,18870,74.94954729111316,35.602687606194536,0.8142890063139818,62.42498745410787,0.15107317836494213,15.808915531218458,16642,15243
fold_2,B0_zero,42,3040,18884,90.45160287101308,42.48249541935288,0.9999999999994146,72.55905191714095,N/A,N/A,0,0
fold_2,B2_local_mlp,42,3040,18884,90.65797396812331,42.282203845291825,1.0022815637369242,72.58946696639606,0.5662435378884819,42.83928110277294,10684,7750
fold_2,B4_invariant_projected_5d,42,3040,18884,87.70141476315544,38.421033261484645,0.9695949212549517,70.33242531316547,0.08002087590892268,9.276198307390471,696,703
fold_2,B5_equivariant_e3nn,42,3040,18884,70.00798066187778,33.398357579616544,0.7739827536463942,58.214678424376594,0.13944630821417078,13.751727965079551,16780,15556
fold_3,B0_zero,42,3040,19443,100.74104966384347,45.02203683382913,0.9999999999994894,80.59555448732789,N/A,N/A,0,0
fold_3,B2_local_mlp,42,3040,19443,100.80869734306671,45.10037241740474,1.0006715006384934,80.62547856041616,0.3416600618373148,50.191907485033575,4,2052
fold_3,B4_invariant_projected_5d,42,3040,19443,99.34679540727755,43.37592588418683,0.9861600185696988,79.2948317615838,0.2196937309422253,32.18166478609707,1257,1317
fold_3,B5_equivariant_e3nn,42,3040,19443,78.8159112145959,36.48003239289269,0.7823614254323492,65.96995120336265,0.14435925177670836,15.555517292259129,17070,15671
fold_4,B0_zero,42,3040,19229,101.32939551185211,45.447537806427604,0.9999999999994867,81.11386916573443,N/A,N/A,0,0
fold_4,B2_local_mlp,42,3040,19229,101.45339058594404,45.45752534741881,1.0012236831515031,81.17593633348847,0.4363602081860417,43.16196318663817,184,14927
fold_4,B4_invariant_projected_5d,42,3040,19229,99.74086563546705,42.96846476108014,0.984323109119402,79.62737960445531,0.20792366612654414,29.62273463612035,1268,1262
fold_4,B5_equivariant_e3nn,42,3040,19229,79.27952442913819,35.545160330405366,0.7823941318175976,65.62894527565328,0.15295010864674172,14.64091804665107,16888,15391
