jid,element,wyckoff_letter,orbit_size,benchmark_target,representative_cart_max,full_cell_cart_max,cartesian_discrepancy,max_eigenvalue_difference_in_orbit,eigenvalues_invariant,explanation
JVASP-2346,S,g,4,49.519,49.519,77.376,27.857000000000006,0.0010678716155876344,False,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-19751,Ni,b,3,25.935,24.11,39.624,13.689000000000004,0.0022243160526578265,False,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-16104,Cr,k,6,15.861,15.861,18.315,2.4540000000000006,0.004517194468180996,False,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-18509,Ag,c,2,67.0,67.0,82.831,15.831000000000003,0.0017073764242354628,False,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-18255,Se,i,4,104.973,76.704,112.698,7.724999999999994,0.0008168711839289244,True,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-35221,S,i,4,71.482,59.406,87.287,15.805000000000007,0.0008277829454357288,True,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-22446,F,f,6,113.392,113.392,134.675,21.283000000000015,0.00045525839102822374,True,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-2550,S,i,4,75.63,75.62966666666667,127.081,51.45100000000001,0.0005684671667172125,True,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-36954,Br,b,6,102.583,93.863,128.734,26.15100000000001,0.0005953020945810295,True,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-36061,Sm,i,2,65.245,65.245,65.252,0.006999999999990791,0.012999939846807251,False,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-24414,F,f,6,77.196,71.902,93.483,16.287000000000006,0.0014785651585214055,False,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-21536,O,g,4,113.7,73.267,128.01666666666665,14.316666666666649,0.00037597795751764806,True,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-17289,Y,f,3,49.365,49.365,66.055,16.690000000000005,0.001344065836448749,False,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-20495,Si,e,4,23.781,23.781,24.005,0.2240000000000002,0.00022109800139524793,True,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-34263,O,k,4,99.435,99.435,134.509,35.073999999999984,0.0010580636103156849,False,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-35956,N,i,2,56.3,56.300333333333334,56.301,0.0010000000000047748,0.0011089599384916937,False,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-2718,F,h,6,85.147,85.147,95.873,10.725999999999999,0.0006355566138722679,True,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-2865,Ca,c,2,58.792,58.792,59.351,0.5589999999999975,0.00024271423997035413,True,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-18675,Hf,h,4,90.856,90.856,125.56633333333333,34.71033333333334,0.009454963276439798,False,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-17699,Te,h,4,173.942,173.942,182.639,8.697000000000003,0.0011353738413006909,False,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-18655,Cd,h,6,45.632,45.632,53.29266666666667,7.660666666666671,0.000945441020355986,True,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-25385,Nd,c,2,29.909,29.909,29.910333333333334,0.0013333333333349628,0.0013566776980624695,False,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-13916,Cl,j,4,71.12,71.12,93.117,21.997,0.0005296209326104417,True,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-34241,O,b,3,174.546,166.63866666666667,181.276,6.730000000000018,0.0055423138235255465,False,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-16909,O,c,3,9.892,9.892333333333333,9.894,0.002000000000000668,0.0016666666666669272,False,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-18175,V,h,6,15.175,15.175,22.028,6.852999999999998,0.0009999999999994458,True,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-17432,Se,i,4,179.982,135.988,184.852,4.8700000000000045,0.0008400946669553377,True,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-24947,F,h,4,57.392,57.392,68.122,10.729999999999997,0.0012786059386229454,False,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-33894,O,c,2,118.006,118.006,195.21966666666665,77.21366666666665,0.000939785540886362,True,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-3243,Ca,c,2,46.58,46.58,46.94633333333333,0.36633333333332985,0.0007953684266084338,True,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-36766,Au,b,2,197.013,197.013,235.743,38.72999999999999,0.00022384345895432034,True,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-17670,Mn,h,4,10.651,10.651,12.616,1.9649999999999999,0.004248430011708493,False,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-26527,F,h,6,56.872,56.872,65.786,8.914000000000001,0.0011341247617338013,False,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-39200,Lu,h,6,31.996,31.996,38.767,6.771000000000004,0.007099137856357629,False,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-22596,F,f,6,118.984,105.753,125.866,6.882000000000005,0.000967063989946837,True,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-30883,Ga,b,4,56.867,52.508,60.947,4.080000000000005,0.0007061823903029563,True,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-35945,O,c,3,19.864,19.864,22.938,3.073999999999998,0.0008546839576268894,True,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-36078,Hf,h,6,74.848,74.848,91.074,16.226,0.009397112333743962,False,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-24872,F,c,2,49.496,49.49633333333333,50.215333333333334,0.7193333333333314,0.00049921920660978,True,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-21982,F,h,6,97.904,97.904,109.546,11.64200000000001,0.0008078309907517678,True,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-3654,Cl,f,6,31.452,31.452,37.782,6.329999999999995,0.00043353602633544597,True,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-16057,Pr,f,3,102.349,102.349,141.335,38.986000000000004,0.002165943322751218,False,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-2448,Se,d,4,138.705,122.051,151.942,13.236999999999995,0.0013638058207448012,False,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
JVASP-16653,S,b,2,54.225,54.225,57.477,3.2519999999999953,0.0009963965492119087,True,Symmetry-equivalent sites are rotated in Cartesian frame; eigenvalues are identical but Cartesian max depends on site choice
