jid,site_idx,element,stabilizer_order,invariant_subspace_dim,is_symmetry_enforced_zero,frob_norm,category
JVASP-14747,0,S,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-14747,1,Th,48,0,True,0.020049937655763423,symmetry_forced_near_zero
JVASP-15049,0,B,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-15049,1,Pu,48,0,True,0.013856406460551019,symmetry_forced_near_zero
JVASP-14571,0,Sm,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-36603,0,Sr,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-36603,1,Ir,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-18049,0,Ce,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-17798,0,Li,8,1,False,0.8287440296416421,numerical_near_zero_unforced
JVASP-17798,1,Li,8,1,False,0.8287440296416421,numerical_near_zero_unforced
JVASP-15043,0,As,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-15043,1,Ce,48,0,True,0.0031622776601683794,symmetry_forced_near_zero
JVASP-18702,3,Pd,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-36878,0,Tl,1,5,False,0.017492855684535902,numerical_near_zero_unforced
JVASP-36878,1,Ag,1,5,False,0.007071067811865475,numerical_near_zero_unforced
JVASP-14949,0,C,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-14949,1,Np,48,0,True,0.016492422502470645,symmetry_forced_near_zero
JVASP-36397,0,Ag,24,0,True,0.0,symmetry_forced_exact_zero
JVASP-36397,1,N,24,0,True,0.0,symmetry_forced_exact_zero
JVASP-36605,0,Ba,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-36605,1,Rh,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-15445,0,Ba,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-15445,1,Pr,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-18565,0,Tl,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-18565,1,Bi,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-35648,3,Al,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-35648,4,N,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-35988,0,Hf,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-35988,1,N,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-18304,0,Al,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-18304,4,C,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-18323,0,La,48,0,True,0.0037416573867739417,symmetry_forced_near_zero
JVASP-18323,1,Bi,48,0,True,0.001414213562373095,symmetry_forced_near_zero
JVASP-18855,3,Al,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-36630,0,Mg,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-36630,1,Si,48,0,True,0.0,symmetry_forced_exact_zero
JVASP-36962,1,Ca,1,5,False,0.350876046489355,numerical_near_zero_unforced
