structure_hash,group_size,jids,reduced_formula
83aaac153f9ea11105d7b200a544214fc9bba074fd95f3e863bbbdc69c202e9f,2,JVASP-16028;JVASP-12871,STh
c9fce7bea08fcb59a84ded458c2db8028bf9218cc6a131929f2a4f2ba52c7f02,2,JVASP-17475;JVASP-4930,STh
054cc7bcaa1a4d28dc16c028bead9f2b7d5e517d56eb3f2a10de7702ada1f079,2,JVASP-30645;JVASP-8364,STh
6017348378e5a510fe87028629d871683acf97c1cdf97cca77bf421fb11de5b6,2,JVASP-14052;JVASP-18554,STh
75f956998e89e724b582b28a872a2745d6db4e1da3167872e4ab7eaeb78b0ca5,2,JVASP-15990;JVASP-14256,STh
040cdd64378a0fbe6d6ec20ca0575c42e987b6c4440fe31ecf08ad9f1de424ba,2,JVASP-13814;JVASP-18627,STh
bd8c48964e45efc436073db71594f9f846814b1eb8d3191088a747515a409784,2,JVASP-20495;JVASP-20230,STh
2b70ff3a783c9d369c07014d49fb9e321bb95817943307a72023c1572ffbbd90,2,JVASP-17947;JVASP-13768,STh
24dd52b3152b342b871d4d803856c077db62b8d5b4ac0aa68a34a6463ecf6f69,2,JVASP-20233;JVASP-20499,STh
1c443dfff0e04e8abe6a8ef8c59bb48ccd8e36713bb5e34d49d0008d6c8d9cb4,2,JVASP-14247;JVASP-15578,STh
a2453e92255be0aefa527fae86cf520a1071290eccf9887a42ce6414870d5905,2,JVASP-18556;JVASP-5740,STh
ccfc0a1f19dcfc3478ed13f2b2355421bd9094345e78e21083693b323e9f1de0,2,JVASP-20490;JVASP-20228,STh
d8e25317045455807ba69d4ef329b80720483113947b2b4c350d089d3ecdf5b9,2,JVASP-18473;JVASP-5413,STh
58717cd98944bdbf4256d58ac3146c2c1c3820dbfadab1a6571b04d8d2e8af9a,2,JVASP-20488;JVASP-20225,STh
221098919b4fe5a159667d8c7fec34bf3bea5c806c8c23fa0c5d771741d02e1f,2,JVASP-15691;JVASP-13967,STh
854e0587b17b063c4ed53cdc2dbeab2d9e7dc0c9d27cc701e5f3addcf40e2302,2,JVASP-14015;JVASP-17951,STh
8a643a081e0ed76034177f96dd5984ef067e0686ba3e3eaf7b2a11abe2d42f1c,2,JVASP-1183;JVASP-266,STh
3fdcb1b7d73c96a46477c195fb221a5e5f90cedcd05113e13dc08fe95c5e3e2e,2,JVASP-13767;JVASP-17915,STh
f04367163b7663bbca33fbc799dafe5385ae14dbe0ababaee33fa3c0a1a0dfa8,2,JVASP-24254;JVASP-22612,STh
6278c15f5eff470f5c5d594b6d5976a57be4adfe26632db155640544f3dcff05,2,JVASP-17491;JVASP-4948,STh
c85da46f3e9b68f6791d427f466fc9e8b00bba99167c5519535e13229ddae61e,2,JVASP-34295;JVASP-63457,STh
b54f08d08a6344858ad458a2ec357290d38ca69df474137b691bfbd56de9d7f0,2,JVASP-29329;JVASP-27279,STh
7a5efe2dcfd6d5d2c3d6c62e289383500fda992ad15b63d2aa1b89ae8402176a,2,JVASP-19591;JVASP-4322,STh
d422635a27a9a7bc8d7b6045e9b1d38a11c77ce924b47e909da19bc4c5090fb0,2,JVASP-20649;JVASP-14316,STh
ef58ad5dc9ba113ad214916a8b416c88eaec05ddc08c5502a44742a59c942ca5,2,JVASP-20569;JVASP-20379,STh
