jid,site_idx,element,reduced_formula,frobenius_norm,vzz,eta,trace_residual,symmetry_residual
JVASP-32666,3,Xe,F3Xe,3001.8020533592817,-2450.919,0.010088868705983384,0.0,0.0
JVASP-32666,2,Xe,F3Xe,3001.8020533592817,-2450.919,0.010088868705983384,0.0,0.0
JVASP-12503,0,Xe,F4Xe,2995.452199717432,-2445.763,0.005824358288190594,2.2737367544323206e-13,0.0
JVASP-12503,1,Xe,F4Xe,2995.452199717432,-2445.763,0.005824358288190594,2.2737367544323206e-13,0.0
JVASP-32666,1,Xe,F3Xe,2952.36543555841,2410.537,0.012129662394727828,0.0,0.0
JVASP-32666,0,Xe,F3Xe,2952.36543555841,2410.537,0.012129662394727828,0.0,0.0
JVASP-1936,2,Xe,F2Xe,2936.824866370312,2397.908,8.340603559238747e-07,0.0009999999999763531,0.0
JVASP-85434,1,Mo,CuF6Mo,2738.98985140033,-2236.28,0.016060600640349122,0.0,0.0
JVASP-5821,15,I,I2O6S,2287.800911902082,-1860.49,0.15559126896677758,0.0,0.0
JVASP-5821,17,I,I2O6S,2287.800911902082,-1860.49,0.15559126896677758,0.0,0.0
JVASP-5821,16,I,I2O6S,2287.799470446219,-1860.489,0.15559081510291112,5.684341886080802e-14,0.0
JVASP-5821,14,I,I2O6S,2287.799470446219,-1860.489,0.15559081510291112,5.684341886080802e-14,0.0
JVASP-8665,0,I,Cl3I,2095.4404637641223,-1710.212,0.049821893426078116,0.0,0.0
JVASP-8665,1,I,Cl3I,2095.4404637641223,-1710.212,0.049821893426078116,0.0,0.0
JVASP-31822,24,Kr,F11Kr3Sb,2034.1145409268377,1660.796,0.013657306496402939,0.0,0.0
JVASP-31822,25,Kr,F11Kr3Sb,2034.1113949068767,1660.793,0.01365733116649698,0.0,0.0
JVASP-56758,3,I,C2IKN2,2020.3312540390498,1649.592,0.0026430778034811113,0.0009999999997489795,0.0
JVASP-31822,23,Kr,F11Kr3Sb,2013.234749450744,1643.727,0.016278250585407397,0.0,0.0
JVASP-31822,22,Kr,F11Kr3Sb,2013.2346591820835,1643.727,0.0162776422118758,0.0,0.0
JVASP-2029,2,I,BrI,1996.317629959972,1626.886,0.10698414025321998,0.0009999999999763531,0.0
JVASP-2029,3,I,BrI,1996.317629959972,1626.886,0.10698414025321998,0.0009999999999763531,0.0
JVASP-32247,15,I,AsF6I3,1940.1577563806504,1581.108,0.1071716796069592,0.0,0.0
JVASP-32247,14,I,AsF6I3,1940.1577563806504,1581.108,0.1071716796069592,0.0,0.0
JVASP-31822,27,Kr,F11Kr3Sb,1908.888099254118,1558.583,0.008399296027224733,0.0,0.0
JVASP-31822,26,Kr,F11Kr3Sb,1908.888099254118,1558.583,0.008399296027224733,0.0,0.0
JVASP-8698,0,Kr,F2Kr,1895.1057107615395,1547.347,0.0,0.0009999999999763531,0.0
JVASP-8698,1,Kr,F2Kr,1895.1057107615395,1547.347,0.0,0.0009999999999763531,0.0
JVASP-24447,0,Kr,F2Kr,1893.7130640635608,1546.131,0.017,0.0009999999999763531,0.0
JVASP-24447,1,Kr,F2Kr,1893.7130640635608,1546.131,0.017,0.0009999999999763531,0.0
JVASP-3651,7,Br,BrF3,1869.609294376769,-1525.293,0.06976167857585398,0.0,0.0
JVASP-3651,6,Br,BrF3,1869.609294376769,-1525.293,0.06976167857585398,0.0,0.0
JVASP-80766,5,Tl,InLi2Tl,1865.3200416126986,-1522.726,0.034468446719895754,0.0,0.0
JVASP-80766,4,Tl,InLi2Tl,1865.3200416126986,-1522.726,0.034468446719895754,0.0,0.0
JVASP-32238,4,Br,Br2F10Ge,1864.5546769649852,-1519.446,0.10809729335560457,1.1368683772161603e-13,0.0
JVASP-32238,5,Br,Br2F10Ge,1864.5546769649852,-1519.446,0.10809729335560457,1.1368683772161603e-13,0.0
JVASP-32238,2,Br,Br2F10Ge,1864.5546769649852,-1519.446,0.10809729335560457,1.1368683772161603e-13,0.0
JVASP-32238,3,Br,Br2F10Ge,1864.5546769649852,-1519.446,0.10809729335560457,1.1368683772161603e-13,0.0
JVASP-32247,17,I,AsF6I3,1861.0520331949344,1515.922,0.11977661119767376,0.0009999999999763531,0.0
JVASP-32247,16,I,AsF6I3,1861.0520331949344,1515.922,0.11977661119767376,0.0009999999999763531,0.0
JVASP-5758,2,I,CIN,1848.9192522930796,1509.636,1.32482267245396e-06,5.684341886080802e-14,0.0
JVASP-31901,2,I,Br2Cl6I3Sb,1843.9830444903769,1503.316,0.0956285970481256,0.0,0.0
JVASP-53161,2,Bi,BiF3Rb,1772.3992553417527,-1444.998,0.09473784738802403,0.0,0.0
JVASP-53161,3,Bi,BiF3Rb,1772.145229585036,-1444.789,0.09478131408807797,0.0010000000000331966,0.0
JVASP-33839,1,Te,Br2Te,1728.196658678925,-1410.835,0.0314345759780555,0.00100000000009004,0.0
JVASP-33839,0,Te,Br2Te,1728.196658678925,-1410.835,0.0314345759780555,0.00100000000009004,0.0
JVASP-31901,1,I,Br2Cl6I3Sb,1616.7275164640453,1169.343,0.9072692956643174,1.1368683772161603e-13,0.0
JVASP-31901,3,I,Br2Cl6I3Sb,1616.7275164640453,1169.343,0.9072692956643174,1.1368683772161603e-13,0.0
JVASP-80254,7,Bi,BiK2Rb,1607.9140999599451,1302.64,0.2173509181354787,1.1368683772161603e-13,0.0
JVASP-80254,6,Bi,BiK2Rb,1607.9140999599451,1302.64,0.2173509181354787,1.1368683772161603e-13,0.0
JVASP-32247,19,I,AsF6I3,1559.1050064168223,-1256.218,0.2840924107121534,1.1368683772161603e-13,0.0
JVASP-32247,18,I,AsF6I3,1559.1050064168223,-1256.218,0.2840924107121534,1.1368683772161603e-13,0.0
JVASP-81148,4,Tl,LiNaTl2,1549.5577053475613,-1251.964,0.25260630497362546,1.1368683772161603e-13,0.0
JVASP-81148,5,Tl,LiNaTl2,1549.5577053475613,-1251.964,0.25260630497362546,1.1368683772161603e-13,0.0
JVASP-81148,6,Tl,LiNaTl2,1549.5577053475613,-1251.964,0.25260630497362546,1.1368683772161603e-13,0.0
JVASP-81148,7,Tl,LiNaTl2,1549.5577053475613,-1251.964,0.25260630497362546,1.1368683772161603e-13,0.0
JVASP-8668,8,I,CI4,1522.5934587653396,1242.924,0.03601990145817442,0.0010000000000047748,0.0
JVASP-8668,2,I,CI4,1522.5934587653396,1242.924,0.03601990145817442,0.0010000000000047748,0.0
JVASP-8668,5,I,CI4,1522.5934587653396,1242.924,0.03601990145817442,0.0010000000000047748,0.0
JVASP-8668,6,I,CI4,1522.5934587653396,1242.924,0.03601990145817442,0.0010000000000047748,0.0
JVASP-8668,9,I,CI4,1522.5934587653396,1242.924,0.03601990145817442,0.0010000000000047748,0.0
JVASP-8668,7,I,CI4,1522.5934587653396,1242.924,0.03601990145817442,0.0010000000000047748,0.0
JVASP-8668,3,I,CI4,1522.5934587653396,1242.924,0.03601990145817442,0.0010000000000047748,0.0
JVASP-8668,4,I,CI4,1522.5934587653396,1242.924,0.03601990145817442,0.0010000000000047748,0.0
JVASP-32512,4,I,CF3I,1512.9165541450063,1234.531,0.06079636720341567,0.0,0.0
JVASP-32512,5,I,CF3I,1512.9165541450063,1234.531,0.06079636720341567,0.0,0.0
JVASP-32512,7,I,CF3I,1512.9165541450063,1234.531,0.06079636720341567,0.0,0.0
JVASP-32512,6,I,CF3I,1512.9165541450063,1234.531,0.06079555717920407,0.0,0.0
JVASP-4669,0,U,B2Fe3U,1499.5992576995363,1224.418,5.717001873500846e-06,0.0009999999999763531,0.0
JVASP-5374,10,Bi,BiI,1471.5361178696905,-1201.495,0.007045389285848074,0.0009999999999763531,0.0
JVASP-5374,11,Bi,BiI,1471.5361178696905,-1201.495,0.007045389285848074,0.0009999999999763531,0.0
JVASP-85041,2,Br,BrCl,1459.9322058369696,1190.433,0.08973121544849644,0.0,0.0
JVASP-85041,3,Br,BrCl,1459.9322058369696,1190.433,0.08973121544849644,0.0,0.0
JVASP-81992,0,Br,BrCl,1459.9322058369696,1190.433,0.08973121544849644,0.0,0.0
JVASP-81992,1,Br,BrCl,1459.9322058369696,1190.433,0.08973121544849644,0.0,0.0
JVASP-85041,1,Br,BrCl,1459.9322058369696,1190.433,0.08973121544849644,0.0,0.0
JVASP-85041,0,Br,BrCl,1459.9322058369696,1190.433,0.08973121544849644,0.0,0.0
JVASP-81992,2,Br,BrCl,1459.9322058369696,1190.433,0.08973121544849644,0.0,0.0
JVASP-81992,3,Br,BrCl,1459.9322058369696,1190.433,0.08973121544849644,0.0,0.0
JVASP-36187,1,Br,BrCl,1459.9080366071007,1190.412,0.08978572124608963,0.0,0.0
JVASP-36187,0,Br,BrCl,1459.9080366071007,1190.412,0.08978572124608963,0.0,0.0
JVASP-7652,1,Au,AuC2Rb,1437.51979789845,-1173.73,-0.0,0.0,0.0
JVASP-33802,0,Te,I2Te,1437.5189260242803,-1173.045,0.059,0.0,0.0
JVASP-33802,1,Te,I2Te,1437.5189260242803,-1173.045,0.059,0.0,0.0
JVASP-5653,6,I,AlI7Te,1428.3379978618507,1166.224,0.007034669154467808,0.0,0.0
JVASP-5653,7,I,AlI7Te,1428.3379978618507,1166.224,0.007034669154467808,0.0,0.0
JVASP-7654,1,Au,AuC2K,1426.6342654815214,-1164.842,-0.0,0.0,0.0
JVASP-32749,1,Bi,BiI,1426.4418585452406,-1164.641,0.014956540255752616,0.0,0.0
JVASP-32749,2,Bi,BiI,1426.4418585452406,-1164.641,0.014956540255752616,0.0,0.0
JVASP-78831,0,U,UV2,1424.7615359125891,-1163.206,0.023485092064518223,0.0,0.0
JVASP-78831,1,U,UV2,1424.7615359125891,-1163.206,0.023485092064518223,0.0,0.0
JVASP-12189,1,W,O2W,1423.566279578861,-1162.337,8.603356857575326e-07,0.0,0.0
JVASP-12189,0,W,O2W,1423.566279578861,-1162.337,8.603356857575326e-07,0.0,0.0
JVASP-30546,0,W,O2W,1414.1308450896615,-1154.633,8.66076060511308e-07,0.0,0.0
JVASP-30546,1,W,O2W,1414.1308450896615,-1154.633,8.66076060511308e-07,0.0,0.0
JVASP-5374,8,Bi,BiI,1403.9276242919361,-1146.267,0.013549199270327026,1.1368683772161603e-13,0.0
JVASP-5374,9,Bi,BiI,1403.9276242919361,-1146.267,0.013549199270327026,1.1368683772161603e-13,0.0
JVASP-33818,1,Br,BrCl,1396.2079286417193,1139.999,8.771937519036009e-07,0.0,0.0
JVASP-33818,0,Br,BrCl,1396.2079286417193,1139.999,8.771937519036009e-07,0.0,0.0
JVASP-84960,0,I,I,1393.583069017416,1110.846,0.38426748622221263,0.0,0.0
JVASP-84960,2,I,I,1393.583069017416,1110.846,0.38426748622221263,0.0,0.0
JVASP-84960,1,I,I,1393.583069017416,1110.846,0.38426748622221263,0.0,0.0
