model,mae,rmse,median_ae,r2,nmae_mad,high_efg_f1,published_mae,notes
A0_median,43.56525789368668,54.09356594002248,37.732500076293945,-0.0404953612035063,1.1652983153805607,0.6880530973451328,,Dummy baseline
A1_magpie_rf,29.01832053982885,39.245664480639824,21.132485414293765,0.4523131696457133,0.7761918940719968,0.7892049598832969,,Composition only
A2_magpie_xgb,29.97163251030989,39.476324343184366,22.79264163970948,0.445856374450305,0.8016914064574079,0.7803468208092487,19.4382,Composition only (Matminer proxy)
A3_structural_gbdt,27.551115618406115,36.72105345602233,21.22084732757272,0.5205104039807266,0.7369465984875136,0.7894361170592434,,Composition + Cell Volume/Density/Lattice
A4_cgcnn,27.81542542887332,40.10851685716658,18.186752319335938,0.4279656211296516,0.74401644707254,0.800632911392405,24.6695,Crystal Graph Convolutional Neural Network
A5_alignn_eq,28.918785479289504,41.749976762864925,18.508857682347298,0.3801859724348876,0.773529496464921,0.7823293172690762,19.1211,Line Graph Atomistic Neural Network
A6_aq_gnn,20.530189345910856,31.91229756203927,10.944599151611328,0.6378695282470862,0.5491484778447921,0.8498402555910544,,Adaptive Quadrupole GNN (Physical Multipole + SmoothMax)
A6_aq_gnn_seed43,21.278109904807003,32.376602349215794,12.072509765625,0.6272553083563555,0.569154110990521,0.847210994341148,,Adaptive Quadrupole GNN (seed=43)
A6_aq_gnn_seed44,20.210280093468697,31.524301420434693,11.336505889892578,0.6466217078799081,0.5405914365010859,0.8450932684509326,,Adaptive Quadrupole GNN (seed=44)
A6_aq_gnn_seed45,21.648422615404712,33.706408365821055,11.179680824279783,0.5960069620267737,0.5790593611528541,0.8415124698310539,,Adaptive Quadrupole GNN (seed=45)
A6_aq_gnn_seed46,21.41534041135143,32.774538416660135,11.937519073486328,0.6180362990604518,0.5728247991908592,0.8341384863123994,,Adaptive Quadrupole GNN (seed=46)
A6_aq_gnn_seed47_boltz,21.875755255545805,32.82354265422325,12.869391679763794,0.6168932267713294,0.5851401318264468,0.8356054530874097,,"Adaptive Quadrupole GNN (tag=seed47_boltz, pooling=boltzmann)"
A6_aq_gnn_seed48,21.14384633564259,32.722528705809644,12.656370162963867,0.6192476088225964,0.5655627834389643,0.8427672955974842,,"Adaptive Quadrupole GNN (tag=seed48, pooling=smoothmax)"
A7_aq_gnn_7seed_mean,19.169403646942524,29.43498180386344,10.628215767578126,0.6919108045500457,0.5127497197685418,0.8607796340493238,,AQ-GNN 7-Seed Equal-Weight Mean
A7_aq_gnn_optimal_ensemble,19.10452322229368,29.431386364573136,10.50617957992568,0.6919860652281522,0.5110142761329509,0.8619313647246608,,AQ-GNN 7-Seed Validation-Optimal Ensemble (SLSQP)
